State,Atmospheric Condition,Crash Date,Fatalities in crash,Roadway,Age,Person Type,Injury Severity,Crash Date.day-of-week
Arizona,Clear,1/1/2011,1,Urban-Other Principal Arterial,24,Passenger of a Motor Vehicle In-Transport,No Injury (O),6
Arizona,Clear,1/1/2011,1,Urban-Other Principal Arterial,27,Driver of a Motor Vehicle In-Transport,No Injury (O),6
Arizona,Clear,1/1/2011,1,Urban-Other Principal Arterial,82,Pedestrian,Fatal Injury (K),6
Connecticut,Clear,1/1/2011,1,Urban-Local Road or Street,22,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),6
Florida,Rain,1/1/2011,1,Urban-Minor Arterial,5,Passenger of a Motor Vehicle In-Transport,Non-incapacitating Evident Injury (B),6
Florida,Rain,1/1/2011,1,Urban-Minor Arterial,70,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),6
Georgia,"Fog, Smog, Smoke",1/1/2011,1,Urban-Local Road or Street,23,Passenger of a Motor Vehicle In-Transport,Incapacitating Injury (A),6
Georgia,"Fog, Smog, Smoke",1/1/2011,1,Urban-Local Road or Street,24,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),6
Hawaii,Clear,1/1/2011,2,Rural-Minor Arterial,0,Passenger of a Motor Vehicle In-Transport,No Injury (O),6
Hawaii,Clear,1/1/2011,2,Rural-Minor Arterial,19,Passenger of a Motor Vehicle In-Transport,Non-incapacitating Evident Injury (B),6
Hawaii,Clear,1/1/2011,2,Rural-Minor Arterial,26,Driver of a Motor Vehicle In-Transport,Non-incapacitating Evident Injury (B),6
Illinois,Clear,1/1/2011,1,Urban-Minor Arterial,27,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),6
Indiana,Rain,1/1/2011,1,Rural-Local Road or Street,25,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),6
Kentucky,Clear,1/1/2011,2,Urban-Other Principal Arterial,7,Passenger of a Motor Vehicle In-Transport,Non-incapacitating Evident Injury (B),6
Kentucky,Clear,1/1/2011,2,Urban-Other Principal Arterial,18,Passenger of a Motor Vehicle In-Transport,Fatal Injury (K),6
Kentucky,Clear,1/1/2011,2,Urban-Other Principal Arterial,20,Passenger of a Motor Vehicle In-Transport,Non-incapacitating Evident Injury (B),6
Kentucky,Clear,1/1/2011,2,Urban-Other Principal Arterial,28,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),6
Kentucky,Clear,1/1/2011,2,Urban-Other Principal Arterial,37,Driver of a Motor Vehicle In-Transport,Non-incapacitating Evident Injury (B),6
Louisiana,Rain,1/1/2011,1,Rural-Principal Arterial-Interstate,41,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),6
Michigan,Rain,1/1/2011,1,Rural-Major Collector,75,Driver of a Motor Vehicle In-Transport,No Injury (O),6
Mississippi,Clear,1/1/2011,1,Urban-Principal Arterial-Other Freeways or Expressways,20,Passenger of a Motor Vehicle In-Transport,Non-incapacitating Evident Injury (B),6
Mississippi,Clear,1/1/2011,1,Urban-Principal Arterial-Other Freeways or Expressways,21,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),6
Missouri,Cloudy,1/1/2011,1,Rural-Principal Arterial-Interstate,31,Driver of a Motor Vehicle In-Transport,No Injury (O),6
Ohio,Cloudy,1/1/2011,1,Urban-Other Principal Arterial,21,Passenger of a Motor Vehicle In-Transport,Fatal Injury (K),6
Ohio,Cloudy,1/1/2011,1,Urban-Other Principal Arterial,22,Driver of a Motor Vehicle In-Transport,Incapacitating Injury (A),6
Oklahoma,Clear,1/1/2011,2,Rural-Local Road or Street,39,Passenger of a Motor Vehicle In-Transport,Fatal Injury (K),6
Pennsylvania,Clear,1/1/2011,1,Rural-Major Collector,21,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),6
South Carolina,"Fog, Smog, Smoke",1/1/2011,1,Rural-Local Road or Street,91,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),6
Texas,Clear,1/1/2011,2,Urban-Minor Arterial,34,Driver of a Motor Vehicle In-Transport,Incapacitating Injury (A),6
